Topic Code,Topic Name,Topic Description,Variable Code,Variable Name
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",5,Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 5-11 years
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",6,Age 25-54 years: Dependent children in household: Youngest dependent child in household aged 12-18 years
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",7,Age 55-65 years: One person household
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",8,Age 55-65 years: Two or more person household: No dependent children
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",9,Age 55-65 years: Two or more person household: Dependent children in household
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",10,Age 66+ years: One person household
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",11,Age 66+ years: Two or more person household: No dependent children
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",12,Age 66+ years: Two or more person household: Dependent children in household
ADULT_LIFESTAGE_AGG13,Adult Lifestage - 13 Categories,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",-8,No code required
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",1,Age 16-24 years: No dependent children in household
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",2,Age 16-24 years: Dependent children in household
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",3,Age 25-34 years: No dependent children in household
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",4,Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 0-4 years
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",5,Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 5-11 years
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",6,Age 25-34 years: Dependent children in household: Youngest dependent child in household aged 12-18 years
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",7,Age 35-54 years: No dependent children in household
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",8,Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 0-4 years
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",9,Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 5-11 years
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",10,Age 35-54 years: Dependent children in household: Youngest dependent child in household aged 12-18 years
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",11,Age 55-65 years: One person household
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",12,Age 55-65 years: Two or more person household: No dependent children
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",13,Age 55-65 years: Two or more person household: Dependent children in household
ADULT_LIFESTAGE_AGG20,Adult Lifestage,"Adult Lifestage classifies adults in households by age, whether they live in a one or two-or-more-person household, and whether they share a household with any dependent children. Adult Lifestage applies to all people aged 16 and over living in households. As such, this variable reports 'No code required' for the subset of the population where no response was expected. An adult is defined as anyone aged 16 and over. A 'dependent child' is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student and in a family with parent(s).",14,Age 66-74 years: One person household
