Topic Code,Topic Name,Detail URL
HH_FAMILY_COMPOSITION_AGG14,Household Composition - 14 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_FAMILY_COMPOSITION_AGG14
HH_FAMILY_COMPOSITION_AGG23,Household Composition,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_FAMILY_COMPOSITION_AGG23
HH_FAMILY_COMPOSITION_AGG3,Household Composition - 3 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_FAMILY_COMPOSITION_AGG3
HH_FAMILY_COMPOSITION_AGG5,Household Composition - 5 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_FAMILY_COMPOSITION_AGG5
HH_FAMILY_COMPOSITION_AGG9,Household Composition - 9 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_FAMILY_COMPOSITION_AGG9
HH_LANGUAGE,Language (Household),https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_LANGUAGE
HH_LANGUAGE_AGG2,Language (Household) - 2 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_LANGUAGE_AGG2
HH_LIFESTAGE_AGG15,Lifestage (Household),https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_LIFESTAGE_AGG15
HH_LIFESTAGE_AGG9,Lifestage (Household) - 9 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_LIFESTAGE_AGG9
HH_MULTI_ETHNIC_GROUP,Ethnic Group (Household),https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_MULTI_ETHNIC_GROUP
HH_MULTI_ETHNIC_GROUP_AGG3,Ethnic Group (Household) - 3 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_MULTI_ETHNIC_GROUP_AGG3
HH_PERSONS_PER_ROOM,Rooms (Persons per Room),https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_PERSONS_PER_ROOM
HH_RELIGION,Religion or Religion Brought Up In (Household),https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_RELIGION
HH_RELIGION_AGG3,Religion or Religion Brought Up In (Household) - 3 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_RELIGION_AGG3
HH_RENEWABLE_ENERGY_IND,Renewable Energy Systems,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_RENEWABLE_ENERGY_IND
HH_SIZE_TC2,Household Size - 2 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_SIZE_TC2
HH_SIZE_TC3,Household Size - 3 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_SIZE_TC3
HH_SIZE_TC4,Household Size - 4 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_SIZE_TC4
HH_SIZE_TC5,Household Size - 5 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_SIZE_TC5
HH_SIZE_TC6,Household Size,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_SIZE_TC6
HH_TENURE,Tenure,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_TENURE
HH_TENURE_AGG4,Tenure - 4 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_TENURE_AGG4
HH_TENURE_AGG7,Tenure - 7 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=HH_TENURE_AGG7
LGD14,Local Government District 2014,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=LGD14
LGD93,Local Government District 1993,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=LGD93
NUMBER_OF_ROOMS,Rooms (Number),https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=NUMBER_OF_ROOMS
NUMBER_OF_ROOMS_AGG4,Rooms (Number) - 4 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=NUMBER_OF_ROOMS_AGG4
NUMBER_OF_ROOMS_AGG5,Rooms (Number) - 5 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=NUMBER_OF_ROOMS_AGG5
NUMBER_OF_ROOMS_AGG6,Rooms (Number) - 6 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=NUMBER_OF_ROOMS_AGG6
OCCUPANCY_RATING_ROOMS_AGG2,Rooms (Occupancy Rating) - 2 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=OCCUPANCY_RATING_ROOMS_AGG2
OCCUPANCY_RATING_ROOMS_AGG4,Rooms (Occupancy Rating) - 4 Categories,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=OCCUPANCY_RATING_ROOMS_AGG4
OCCUPANCY_RATING_ROOMS_AGG5,Rooms (Occupancy Rating),https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=OCCUPANCY_RATING_ROOMS_AGG5
PARLCON08,Parliamentary Constituency 2008,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=PARLCON08
PARLCON24,Parliamentary Constituency 2024,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=PARLCON24
SDZ21,Census 2021 Super Data Zone,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=SDZ21
SETTLEMENT15,Settlement 2015,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=SETTLEMENT15
TTWA2011,Travel to Work Areas 2011,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=TTWA2011
URBAN_STATUS,Urban Status,https://build.nisra.gov.uk/en/metadata/variable?d=HOUSEHOLD&v=URBAN_STATUS
